DATE,Per Capita,Immigration Count,Inflation,Construction,Purchasing,Rent,Target
2001-08-01,50087.58853333333,1696974.0,2.941466666666667,2010.2,56.3,407.1,114.98700000000001
2001-09-01,56348.537099999994,1909095.75,3.3091500000000003,2015.1,56.1,407.8,115.465
2001-10-01,62609.48566666666,2121217.5,3.6768333333333336,2023.8999999999996,56.3,407.7,115.681
2001-11-01,68870.43423333333,2333339.25,4.0445166666666665,2027.5000000000002,56.4,408.8,115.839
2001-12-01,75131.38279999999,2545461.0,4.4122,2025.1000000000004,56.6,409.6,116.056
2002-01-01,6457.336225,180313.58333333334,0.32134166666666664,2030.7999999999997,56.5,410.9,116.43700000000001
2002-02-01,12914.67245,360627.1666666667,0.6426833333333333,2034.5000000000005,56.2,412.0,116.917
2002-03-01,19372.008675,540940.75,0.9640249999999999,2036.7999999999997,55.9,413.0,117.929
2002-04-01,25829.3449,721254.3333333334,1.2853666666666665,2051.0,55.6,413.6,119.209
2002-05-01,32286.681125,901567.9166666667,1.6067083333333332,2058.9,55.6,414.8,120.788
2002-06-01,38744.01735,1081881.5,1.9280499999999998,2068.0,55.6,416.8,122.333
2002-07-01,45201.353575,1262195.0833333335,2.2493916666666665,2071.1,55.5,418.4,123.68700000000001
2002-08-01,51658.6898,1442508.6666666667,2.570733333333333,2077.1,55.4,419.7,124.729
2002-09-01,58116.026025,1622822.25,2.8920749999999997,2081.2999999999997,55.3,420.7,125.494
2002-10-01,64573.36225,1803135.8333333335,3.2134166666666664,2083.9,55.2,421.20000000000005,126.137
2002-11-01,71030.698475,1983449.4166666667,3.534758333333333,2086.1,55.2,422.2,126.64299999999999
2002-12-01,77488.0347,2163763.0,3.8560999999999996,2080.2999999999997,55.3,423.0,127.15100000000001
2003-01-01,6767.9088833333335,199315.0,0.412275,2090.4,55.0,424.9,127.652
2003-02-01,13535.817766666667,398630.0,0.82455,2095.1,54.6,426.5,128.326
2003-03-01,20303.72665,597945.0,1.236825,2098.9,54.3,428.5,129.308
2003-04-01,27071.635533333334,797260.0,1.6491,2106.6000000000004,54.4,429.1,130.488
2003-05-01,33839.54441666667,996575.0,2.061375,2104.7,54.5,430.4,131.839
2003-06-01,40607.4533,1195890.0,2.47365,2110.6,54.4,432.29999999999995,133.225
2003-07-01,47375.36218333333,1395205.0,2.885925,2109.2000000000003,54.4,433.6,134.64700000000002
2003-08-01,54143.27106666667,1594520.0,3.2982,2113.7999999999997,54.2,434.5,135.966
2003-09-01,60911.179950000005,1793835.0,3.710475,2119.1000000000004,54.0,435.79999999999995,137.076
2003-10-01,67679.08883333334,1993150.0,4.12275,2122.3,54.0,435.6,137.975
2003-11-01,74446.99771666666,2192465.0,4.535025,2126.5,54.2,435.7,138.765
2003-12-01,81214.9066,2391780.0,4.9473,2125.9,54.3,436.3,139.627
2004-01-01,7154.003225,221822.91666666666,0.5058250000000001,2137.7999999999997,54.0,438.0,140.705
2004-02-01,14308.00645,443645.8333333333,1.0116500000000002,2169.4999999999995,53.7,439.4,142.029
